Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;82688194,58
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;32635804,69
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;23001752,27
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;9634052,42
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;356512,84
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;495
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;49296208,15
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;624081716
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;144976006,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;33909242,19
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;277726705,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;167469761,4
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;42839142,55
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1207374334
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;704093148,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;82602414,93
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;2842298,58
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;417836472,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;2523236973
